baryon_density,pressure/c2,energy_density/c2
2.7888000000000016e14,8.763999525832129e12,2.8624590036997844e14
2.822000000000002e14,9.03912666925473e12,2.897357946975059e14
2.855200000000002e14,9.319074950269072e12,2.932281364149095e14
2.888400000000002e14,9.603871771552293e12,2.967229521677022e14
2.921600000000002e14,9.893544003316738e12,3.0022026805692725e14
2.954800000000002e14,1.0188118025350396e13,3.037201096896177e14
2.988000000000002e14,1.0487619763203975e13,3.0722250222179156e14
3.021200000000002e14,1.0792074719539377e13,3.107274703953396e14
3.054400000000002e14,1.110150800146433e13,3.1423503856983875e14
3.087600000000002e14,1.14159443445024e13,3.177452307501496e14
3.120800000000002e14,1.1735408133721807e13,3.2125807061048656e14
3.154000000000002e14,1.205992342247261e13,3.247735815154964e14
3.187200000000002e14,1.2389513949064902e13,3.282917865388313e14
3.220400000000002e14,1.2724203151695145e13,3.318127084795501e14
3.253600000000002e14,1.3064014181859625e13,3.3533636987669944e14
3.286800000000002e14,1.340896991645546e13,3.3886279302230906e14
3.320000000000002e14,1.3759092968741979e13,3.4239199997301706e14
3.353200000000002e14,1.411440569831131e13,3.459240125605303e14
3.386400000000002e14,1.4474930220181533e13,3.494588524010432e14
3.419600000000002e14,1.4840688413124424e13,3.5299654090376106e14
3.452800000000002e14,1.5211701927307977e13,3.565370992786515e14
3.486000000000002e14,1.5587992191346594e13,3.6008054854349425e14
3.5192000000000025e14,1.5969580418805578e13,3.6362690953032594e14
3.5524000000000025e14,1.6356487614230996e13,3.6717620289135356e14
3.5856000000000025e14,1.6748734578753854e13,3.7072844910438094e14
3.6188000000000025e14,1.7146341915296875e13,3.742836684778282e14
3.6520000000000025e14,1.7549330033450816e13,3.778418811553578e14
3.6852000000000025e14,1.7957719154022508e13,3.81403107120175e14
3.7184000000000025e14,1.8371529313308707e13,3.8496736619901844e14
3.7516000000000025e14,1.8790780367100535e13,3.885346780658872e14
3.7848000000000025e14,1.921549199446682e13,3.921050622455173e14
3.8180000000000025e14,1.9645683701309426e13,3.956785381166426e14
3.8512000000000025e14,2.0081374823730445e13,3.992551249150533e14
3.8844000000000025e14,2.052258453121328e13,4.028348417364767e14
3.9176000000000025e14,2.096933182964376e13,4.064177075392917e14
3.9508000000000025e14,2.1421635564174152e13,4.100037411470977e14
3.9840000000000025e14,2.1879514421949117e13,4.1359296125113956e14
4.0172000000000025e14,2.2342986934696414e13,4.1718538641262056e14
4.0504000000000025e14,2.281207148120578e13,4.2078103506489156e14
4.0836000000000025e14,2.3286786289686547e13,4.243799255155367e14
4.1168000000000025e14,2.3767149440027266e13,4.2798207594836706e14
4.1500000000000025e14,2.425317886595426e13,4.3158750442532456e14
4.1832000000000025e14,2.4744892357104684e13,4.3519622888830075e14
4.216400000000003e14,2.524230756100644e13,4.3880826716088975e14
4.249600000000003e14,2.5745441984989723e13,4.424236369500531e14
4.282800000000003e14,2.6254312998015203e13,4.460423558477409e14
4.316000000000003e14,2.6768937832438734e13,4.4966444133244006e14
4.349200000000003e14,2.7289333585706125e13,4.53289910770667e14
4.382400000000003e14,2.7815517221988863e13,4.569187814184129e14
4.415600000000003e14,2.834750557376256e13,4.6055107042253394e14
4.448800000000003e14,2.8885315343326984e13,4.6418679482210356e14
4.482000000000003e14,2.9428963104277492e13,4.6782597154971406e14
4.515200000000003e14,2.9978465302928125e13,4.7146861743274125e14
4.548400000000003e14,3.053383825968367e13,4.751147491945738e14
4.581600000000003e14,3.109509817037329e13,4.787643834558029e14
4.614800000000003e14,3.1662261107540875e13,4.8241753673537406e14
4.648000000000003e14,3.2235343021691957e13,4.860742254517244e14
4.681200000000003e14,3.2814359742508543e13,4.897344659238673e14
4.714400000000003e14,3.3399326980025402e13,4.933982743724644e14
4.747600000000003e14,3.3990260325772562e13,4.970656669208629e14
4.780800000000003e14,3.458717525388366e13,5.0073665959611444e14
4.814000000000003e14,3.519008712217679e13,5.044112683299595e14
4.847200000000003e14,3.579901117320441e13,5.080895089597951e14
4.880400000000003e14,3.641396253527145e13,5.117713972296219e14
4.913600000000004e14,3.703495622343264e13,5.154569487909623e14
4.946800000000004e14,3.766200714045894e13,5.1914617920376706e14
4.980000000000004e14,3.8295130077781016e13,5.2283910393729925e14
5.013200000000004e14,3.893433971640934e13,5.265357383709956e14
5.046400000000004e14,3.9579650627831945e13,5.30236097795314e14
5.079600000000004e14,4.023107727488725e13,5.339401974125644e14
5.112800000000004e14,4.088863401261971e13,5.376480523377244e14
5.146000000000004e14,4.1552335089116484e13,5.413596775992294e14
5.179200000000004e14,4.222219464631498e13,5.450750881397624e14
5.212400000000004e14,4.289822672080771e13,5.487942988170181e14
5.245600000000004e14,4.358044524461562e13,5.525173244044561e14
5.278800000000004e14,4.426886404594896e13,5.5624417959203925e14
