baryon_density,pressure/c2,energy_density/c2
2.224242e+11,2.238721e+11,3.968186e+08
2.495181e+11,2.511886e+11,4.527899e+08
2.799121e+11,2.818383e+11,5.169531e+08
3.140080e+11,3.162278e+11,5.916100e+08
3.522567e+11,3.548134e+11,6.798096e+08
3.951642e+11,3.981072e+11,7.827660e+08
4.432979e+11,4.466836e+11,8.911662e+08
4.972946e+11,5.011872e+11,9.809968e+08
5.578684e+11,5.623413e+11,1.041212e+09
6.258207e+11,6.309573e+11,1.089128e+09
7.020505e+11,7.079458e+11,1.142068e+09
7.875663e+11,7.943282e+11,1.205971e+09
8.834995e+11,8.912509e+11,1.281781e+09
9.911195e+11,1.000000e+12,1.369978e+09
1.111851e+12,1.122018e+12,1.471869e+09
1.247290e+12,1.258925e+12,1.589739e+09
1.399231e+12,1.412538e+12,1.726774e+09
1.569684e+12,1.584893e+12,1.886985e+09
1.760905e+12,1.778279e+12,2.075189e+09
1.975425e+12,1.995262e+12,2.297042e+09
2.216084e+12,2.238721e+12,2.559128e+09
2.486067e+12,2.511886e+12,2.869089e+09
2.788950e+12,2.818383e+12,3.235801e+09
3.128740e+12,3.162278e+12,3.669591e+09
3.509936e+12,3.548134e+12,4.182499e+09
3.937584e+12,3.981072e+12,4.788587e+09
4.417345e+12,4.466836e+12,5.504307e+09
4.955569e+12,5.011872e+12,6.348934e+09
5.559378e+12,5.623413e+12,7.345076e+09
6.236764e+12,6.309573e+12,8.519275e+09
6.996687e+12,7.079458e+12,9.902718e+09
7.849202e+12,7.943282e+12,1.153208e+10
8.805581e+12,8.912509e+12,1.345051e+10
9.878471e+12,1.000000e+13,1.570882e+10
1.108205e+13,1.122018e+13,1.836686e+10
1.243222e+13,1.258925e+13,2.149521e+10
1.394682e+13,1.412538e+13,2.517710e+10
1.564584e+13,1.584893e+13,2.951072e+10
1.755168e+13,1.778279e+13,3.461206e+10
1.968950e+13,1.995262e+13,4.061810e+10
2.208744e+13,2.238721e+13,4.769078e+10
2.477710e+13,2.511886e+13,5.602170e+10
2.779387e+13,2.818383e+13,6.583772e+10
3.117743e+13,3.162278e+13,7.740790e+10
3.497223e+13,3.548134e+13,9.105201e+10
3.922811e+13,3.981072e+13,1.071514e+11
4.400093e+13,4.466836e+13,1.261631e+11
4.935329e+13,5.011872e+13,1.486390e+11
5.535536e+13,5.623413e+13,1.752529e+11
6.208577e+13,6.309573e+13,2.068402e+11
6.963269e+13,7.079458e+13,2.444566e+11
7.809493e+13,7.943282e+13,2.894676e+11
8.758323e+13,8.912509e+13,3.436789e+11
9.822170e+13,1.000000e+14,4.095030e+11
1.101493e+14,1.122018e+14,4.900483e+11
1.235217e+14,1.258925e+14,5.883679e+11
1.385127e+14,1.412538e+14,7.022899e+11
1.553165e+14,1.584893e+14,8.511266e+11
1.741493e+14,1.778279e+14,1.114512e+12
1.952513e+14,1.995262e+14,1.456335e+12
2.188881e+14,2.238721e+14,1.921189e+12
2.453520e+14,2.511886e+14,2.575303e+12
2.749631e+14,2.818383e+14,3.505612e+12
3.080688e+14,3.162278e+14,4.829965e+12
3.450437e+14,3.548134e+14,6.706712e+12
3.862870e+14,3.981072e+14,9.346026e+12
4.322198e+14,4.466836e+14,1.302462e+13
4.832804e+14,5.011872e+14,1.810545e+13
5.399185e+14,5.623413e+14,2.506372e+13
6.025877e+14,6.309573e+14,3.452031e+13
6.717374e+14,7.079458e+14,4.728309e+13
7.478035e+14,7.943282e+14,6.439660e+13
8.311986e+14,8.912509e+14,8.719950e+13
9.223023e+14,1.000000e+15,1.173890e+14
1.021452e+15,1.122018e+15,1.570898e+14
1.128932e+15,1.258925e+15,2.089245e+14
1.244972e+15,1.412538e+15,2.760801e+14
1.369732e+15,1.584893e+15,3.623668e+14
1.503304e+15,1.778279e+15,4.722613e+14
1.645710e+15,1.995262e+15,6.109331e+14
1.796894e+15,2.238721e+15,7.842496e+14
1.956726e+15,2.511886e+15,9.987644e+14
2.125007e+15,2.818383e+15,1.261694e+15
2.301463e+15,3.162278e+15,1.580893e+15
2.485759e+15,3.548134e+15,1.964846e+15
2.677495e+15,3.981072e+15,2.422686e+15
2.876222e+15,4.466836e+15,2.964259e+15
3.081440e+15,5.011872e+15,3.600243e+15
3.292615e+15,5.623413e+15,4.342329e+15
3.509182e+15,6.309573e+15,5.203471e+15
3.730558e+15,7.079458e+15,6.198197e+15
3.956150e+15,7.943282e+15,7.342982e+15
4.185365e+15,8.912509e+15,8.656686e+15
4.417623e+15,1.000000e+16,1.016104e+16
4.652362e+15,1.122018e+16,1.188118e+16
4.889046e+15,1.258925e+16,1.384628e+16
5.127176e+15,1.412538e+16,1.609022e+16
5.366294e+15,1.584893e+16,1.865231e+16
5.605984e+15,1.778279e+16,2.157819e+16
5.845883e+15,1.995262e+16,2.492079e+16
6.085676e+15,2.238721e+16,2.874140e+16
6.325102e+15,2.511886e+16,3.311095e+16
6.563948e+15,2.818383e+16,3.811150e+16
