baryon_density,pressurec2,energy_densityc2
8.29208549018e11,1.7903540786953168e9,8.37072e11
9.12130527524e11,1.892039167318057e9,9.20964e11
9.95063584704e11,1.9864586510747669e9,1.00488e12
1.160894651152e12,2.1679986342204757e9,1.17269e12
1.326748585428e12,2.348281322802843e9,1.34055e12
1.492556361412e12,2.531156486015816e9,1.50839e12
1.658422839146e12,2.7181818339378686e9,1.6763e12
2.48756204432e12,3.7272552962734556e9,2.51596e12
3.31674046716e12,4.857685500222811e9,3.35601e12
4.975027885e12,7.427784738200503e9,5.0369e12
8.29173984664e12,1.3493663554790257e10,8.40142e12
1.326660255666e13,2.4124033455332134e10,1.34528e13
1.658329954344e13,3.188888440151352e10,1.6823e13
2.48748254526e13,5.2803033710136566e10,2.52547e13
3.31657745184e13,7.51361456352448e10,3.36932e13
4.97496877738e13,1.2276869453490019e11,5.05886e13
6.63326715786e13,1.7469496000086652e11,6.74999e13
8.29160900212e13,2.3310018674323303e11,8.44254e13
9.94975821334e13,3.013623803321786e11,1.01361e14
1.243727969058e14,4.3140224298338916e11,1.26792e14
1.326654080964e14,4.845791271123598e11,1.35277e14
1.409583029146e14,5.4389005100035394e11,1.43765e14
1.459326941564e14,5.827604807085872e11,1.48858e14
1.492499397184e14,6.101450238881787e11,1.52255e14
1.525651136502e14,6.387323417783644e11,1.55651e14
1.558822064258e14,6.684901675275184e11,1.5905e14
1.57542274187e14,6.837557262965741e11,1.60751e14
1.591979878014e14,6.991981964245422e11,1.62447e14
1.600287539412e14,7.069444661147875e11,1.63299e14
1.625207762694e14,7.12598953699652e11,1.65853e14
1.64180643403e14,7.33454466350321e11,1.67554e14
1.658390531396e14,7.548574028285685e11,1.69254e14
1.86072356128e14,1.0626720408358019e12,1.90013e14
1.99008104498e14,1.3079868998943916e12,2.03305e14
2.08776174136e14,1.5200802535793325e12,2.13353e14
2.34249998952e14,2.1876146547087007e12,2.39608e14
2.48760974442e14,2.644624538732164e12,2.546e14
2.62841380792e14,3.142702336324566e12,2.69174e14
2.9491510698e14,4.482110473801912e12,3.0248e14
3.30903066688e14,6.332325125512913e12,3.40043e14
3.71269539008e14,8.86805460325911e12,3.8244e14
4.16577083664e14,1.2353085982329693e13,4.30391e14
4.67408036624e14,1.7188663125938719e13,4.84688e14
4.97524952488e14,2.0579686701773332e13,5.1713e14
5.24440509382e14,2.397616226288261e13,5.46308e14
6.60228141692e14,4.701958998377547e13,6.96501e14
7.40773306302e14,6.573536531164777e13,7.88266e14
8.31168449598e14,9.14237847457913e13,8.93935e14
9.32571937342e14,1.2622903620922697e14,1.01613e15
9.95021034754e14,1.50840855449133e14,1.09342e15
1.046360683426e15,1.729013681105081e14,1.15817e15
1.174025915982e15,2.3501728278981347e14,1.32411e15
1.317265389552e15,3.175848181494403e14,1.51903e15
1.477982729554e15,4.28202261422179e14,1.7494e15
1.658315495578e15,5.782019534289355e14,2.02362e15
1.86063497704e15,7.795949515248086e14,2.35251e15
2.08782483464e15,1.0466687950795829e15,2.75018e15
2.34237529862e15,1.3980670484324928e15,3.23314e15
2.62843277674e15,1.8593383821706412e15,3.82509e15
2.94898403562e15,2.4598022379210975e15,4.55266e15
3.30834492586e15,3.2375668801036975e15,5.45165e15
3.71247365226e15,4.243358024773927e15,6.57075e15
4.1656891165e15,5.534254619807335e15,7.96496e15
4.67379451258e15,7.183546924396174e15,9.7061e15
5.24359189468e15,9.283440248685608e15,1.18856e16
5.88386344798e15,1.1953867142217656e16,1.4624e16
6.60170001852e15,1.5333096627458098e16,1.80606e16
7.40731634492e15,1.9602446157541436e16,2.23812e16
8.31145227692e15,2.4982665503588708e16,2.78152e16
9.32531528792e15,3.173800905391265e16,3.46444e16
1.046398510012e16,4.020115917527329e16,4.32377e16
1.174002621368e16,5.0739846711196344e16,5.40198e16
1.317193703448e16,6.381737914502255e16,6.75512e16
1.477879423604e16,7.996671585360158e16,8.4509e16
1.658310712952e16,9.984565555007234e16,1.05738e17
