baryon_density,energy_densityc2,pressurec2
7.045816e+10,7.079458e+10,9.923115e+07
7.904273e+10,7.943282e+10,1.145183e+08
8.867298e+10,8.912509e+10,1.320673e+08
9.947626e+10,1.000000e+11,1.521797e+08
1.115954e+11,1.122018e+11,1.751866e+08
1.251907e+11,1.258925e+11,2.014498e+08
1.404419e+11,1.412538e+11,2.313638e+08
1.575507e+11,1.584893e+11,2.653617e+08
1.767433e+11,1.778279e+11,3.039294e+08
1.982736e+11,1.995262e+11,3.476402e+08
2.224262e+11,2.238721e+11,3.972270e+08
2.495205e+11,2.511886e+11,4.537289e+08
2.799149e+11,2.818383e+11,5.187501e+08
3.140112e+11,3.162278e+11,5.947864e+08
3.522605e+11,3.548134e+11,6.849973e+08
3.951685e+11,3.981072e+11,7.897555e+08
4.433029e+11,4.466836e+11,8.966323e+08
4.973002e+11,5.011872e+11,9.804316e+08
5.578747e+11,5.623413e+11,1.036423e+09
6.258277e+11,6.309573e+11,1.085087e+09
7.020580e+11,7.079458e+11,1.141322e+09
7.875742e+11,7.943282e+11,1.209239e+09
8.835077e+11,8.912509e+11,1.289422e+09
9.911277e+11,1.000000e+12,1.382581e+09
1.111858e+12,1.122018e+12,1.490388e+09
1.247297e+12,1.258925e+12,1.615495e+09
1.399235e+12,1.412538e+12,1.761417e+09
1.569684e+12,1.584893e+12,1.932457e+09
1.760900e+12,1.778279e+12,2.133684e+09
1.975413e+12,1.995262e+12,2.370978e+09
2.216061e+12,2.238721e+12,2.651124e+09
2.486031e+12,2.511886e+12,2.981948e+09
2.788893e+12,2.818383e+12,3.372505e+09
3.128657e+12,3.162278e+12,3.833294e+09
3.509820e+12,3.548134e+12,4.376528e+09
3.937424e+12,3.981072e+12,5.016442e+09
4.417128e+12,4.466836e+12,5.769652e+09
4.955279e+12,5.011872e+12,6.655576e+09
5.558998e+12,5.623413e+12,7.696922e+09
6.236269e+12,6.309573e+12,8.920247e+09
6.996051e+12,7.079458e+12,1.035660e+10
7.848391e+12,7.943282e+12,1.204228e+10
8.804557e+12,8.912509e+12,1.401967e+10
9.877189e+12,1.000000e+13,1.633819e+10
1.108046e+13,1.122018e+13,1.905543e+10
1.243027e+13,1.258925e+13,2.223831e+10
1.394443e+13,1.412538e+13,2.596447e+10
1.564295e+13,1.584893e+13,3.032378e+10
1.754822e+13,1.778279e+13,3.541996e+10
1.968539e+13,1.995262e+13,4.137241e+10
2.208263e+13,2.238721e+13,4.831834e+10
2.477154e+13,2.511886e+13,5.641513e+10
2.778751e+13,2.818383e+13,6.584339e+10
3.117028e+13,3.162278e+13,7.681107e+10
3.496434e+13,3.548134e+13,8.955940e+10
3.921961e+13,3.981072e+13,1.043721e+11
4.399202e+13,4.466836e+13,1.215898e+11
4.934429e+13,5.011872e+13,1.416338e+11
5.534672e+13,5.623413e+13,1.650432e+11
6.207813e+13,6.309573e+13,1.925333e+11
6.962684e+13,7.079458e+13,2.250834e+11
7.809187e+13,7.943282e+13,2.640623e+11
8.758414e+13,8.912509e+13,3.113886e+11
9.822788e+13,1.000000e+14,3.696655e+11
1.101621e+14,1.122018e+14,4.419959e+11
1.235423e+14,1.258925e+14,5.303511e+11
1.385419e+14,1.412538e+14,6.343140e+11
1.553543e+14,1.584893e+14,7.995113e+11
1.741939e+14,1.778279e+14,1.083015e+12
1.952983e+14,1.995262e+14,1.471569e+12
2.189285e+14,2.238721e+14,2.014956e+12
2.453698e+14,2.511886e+14,2.796309e+12
2.749310e+14,2.818383e+14,3.931995e+12
3.079427e+14,3.162278e+14,5.586822e+12
3.447537e+14,3.548134e+14,7.992887e+12
3.857256e+14,3.981072e+14,1.147277e+13
4.312253e+14,4.466836e+14,1.646800e+13
4.816144e+14,5.011872e+14,2.357333e+13
5.372375e+14,5.623413e+14,3.357719e+13
5.984078e+14,6.309573e+14,4.750774e+13
6.653927e+14,7.079458e+14,6.668371e+13
7.383998e+14,7.943282e+14,9.276768e+13
8.175652e+14,8.912509e+14,1.278189e+14
9.029461e+14,1.000000e+15,1.743413e+14
9.945187e+14,1.122018e+15,2.353230e+14
1.092183e+15,1.258925e+15,3.142610e+14
1.195773e+15,1.412538e+15,4.151707e+14
1.305075e+15,1.584893e+15,5.425749e+14
1.419849e+15,1.778279e+15,7.014783e+14
1.539847e+15,1.995262e+15,8.973284e+14
