baryon_density,pressurec2,energy_densityc2
102109192837.454,161336232.698983,0.102644500668061E+12
108653693529.064,166343219.23102,0.109233809328053E+12
140858202889.247,226204524.880711,0.141667600655921E+12
169240235729.648,288958756.082247,0.170264171719397E+12
183457945459.511,321782334.458936,0.184593511655300E+12
208470135186.898,366066348.675622,0.209807281680523E+12
271363452079.032,497694461.284516,0.273232410518338E+12
330407027116.395,647125192.673988,0.332805937249056E+12
415970909178.822,838725877.299952,0.419181422206428E+12
426970873079.007,868433997.39004,0.430288853002744E+12
430452878780.138,877891638.617222,0.433805037835639E+12
449217935771.889,929296700.346139,0.452755600012370E+12
478981114398.216,1012301410.41058,0.482817419943975E+12
494413580492.294,1056029092.79037,0.498406800406521E+12
507636239815.506,1093859657.6991,0.511764997812403E+12
567330018261.957,1205014758.71033,0.572079219812337E+12
2094256000000.0,2397456417.90688,0.211612045205871E+13
3145202000000.0,3813320942.79968,0.317954564310344E+13
4436516000000.0,5861400967.13772,0.448689206462486E+13
5986292000000.0,8676106262.71439,0.605674822742162E+13
7818102000000.0,12402861971.6935,0.791328380428794E+13
12443858000000.0,23247994800.0865,0.126053243371807E+14
18587020000000.0,39878978732.1671,0.188431403127930E+14
26558340000000.0,64101666910.4902,0.269458822602757E+14
36641180000000.0,98044584943.0086,0.372058329651097E+14
48931820000000.0,144056565845.085,0.497256160958574E+14
70855440000000.0,240557886272.552,0.720878926458930E+14
1.03252e+14,428097348489.197,0.105194059072531E+15
1.2146884e+14,561472343065.935,0.123839983457037E+15
1.2609194e+14,597622785827.245,0.128575374953220E+15
1.411e+14,799638002439.847,0.143961370927287E+15
1.494e+14,892634432294.888,0.152479382784836E+15
1.577e+14,993953586429.849,0.161002788414726E+15
1.66e+14,1104352076142.9,0.169531761462551E+15
1.743e+14,1224486373001.59,0.178066493690960E+15
1.826e+14,1355001821936.7,0.186607189635722E+15
1.909e+14,1496755173977.04,0.195154069209513E+15
1.992e+14,1650302760959.52,0.203707364214235E+15
2.075e+14,1816423447455.79,0.212267314782786E+15
2.158e+14,1995784831670.1,0.220834170872928E+15
2.241e+14,2189054511806.75,0.229408188903567E+15
2.324e+14,2397122618804.74,0.237989635009393E+15
2.407e+14,2620545484500.99,0.246578782375487E+15
2.49e+14,2859990707099.76,0.255175906382690E+15
2.573e+14,3116348417540.07,0.263781289896409E+15
2.656e+14,3390063681291.45,0.272395219319398E+15
2.739e+14,3681804096558.16,0.281017980419947E+15
2.822e+14,3992682327013.99,0.289649868411573E+15
2.905e+14,4323032171761.08,0.298291182788424E+15
2.988e+14,4673743761738.46,0.306942223162654E+15
3.071e+14,5045484695150.39,0.315603294237791E+15
3.154e+14,5438922570201.15,0.324274702290684E+15
3.237e+14,5854613718727.63,0.332956753624731E+15
3.32e+14,6293559538036.24,0.341649758643850E+15
3.403e+14,6756205093596.5,0.350354030513244E+15
3.486e+14,7243551782714.8,0.359069884572743E+15
3.569e+14,7755822138125.92,0.367797635969757E+15
3.652e+14,8294240089871.0,0.376537601700136E+15
3.735e+14,8859139437052.2,0.385290102322354E+15
3.818e+14,9451521576975.91,0.394055458790256E+15
3.901e+14,10071831575111.7,0.402833993980408E+15
3.984e+14,10721070828765.8,0.411626032270431E+15
4.067e+14,11399239337938.5,0.420431895205630E+15
4.15e+14,12108006098140.2,0.429251907829702E+15
4.316e+14,13602313412034.9,0.446935409433609E+15
4.482e+14,15237929012500.5,0.464679053230714E+15
4.648e+14,17024866872600.9,0.482486028460275E+15
4.814e+14,18970915638052.8,0.500359616391914E+15
4.98e+14,21101666573353.1,0.518303435277825E+15
5.109895e+14,23129858043874.2,5.29056573877482e+14
5.2503808e+14,26501941025307.0,5.44248417379158e+14
5.3884928e+14,29965831087276.8,5.59270908013824e+14
5.5250278e+14,33520102100377.2,5.74206048222348e+14
5.6604174e+14,37163684467553.4,5.89101969872196e+14
5.7949272e+14,40896399922629.6,6.03985412889738e+14
5.9287066e+14,44717357134726.8,6.18872421230796e+14
6.062154e+14,48626199571493.4,6.33805778777562e+14
6.1955516e+14,52622748966753.6,6.4881757344168e+14
6.3286338e+14,56707183586683.2,6.63879282635022e+14
6.4612844e+14,60878790366579.0,6.78973079740008e+14
6.5933706e+14,65137391040265.2,6.9408826878609e+14
6.7248426e+14,69482272543038.6,7.0921415380272e+14
6.855551e+14,73913078342547.6,7.24338256157592e+14
6.985446e+14,78429273640264.8,7.39446314556642e+14
7.1144114e+14,83030145371487.0,7.5452941569108e+14
7.2423808e+14,87714980471511.0,7.69576863590358e+14
7.3692878e+14,92482709343282.0,7.84577962283928e+14
7.495066e+14,97333331986800.0,7.99527363786516e+14
